ts_ms,seq,best_bid,best_ask,bid_size,ask_size
1766200182261,501512505176,0,88185.9,0,0.009
1766200183420,501512506667,0,0,0,0
1766200184499,501512509095,88170.9,0,2.474,0
1766200185739,501512516733,0,88181.3,0,0.188
1766200187019,501512518488,0,0,0,0
1766200189339,501512521010,0,88180.8,0,0.015
1766200190679,501512523206,0,88185,0,0.058
1766200191839,501512525365,0,88180.2,0,0.005
1766200193339,501512527552,0,88174.4,0,0.574
1766200194159,501512528560,0,88179,0,0.001
1766200194279,501512530160,0,88182.8,0,0.005
1766200195239,501512533231,0,0,0,0
1766200196859,501512538171,0,88184.8,0,0.001
1766200198199,501512543453,0,88180.2,0,0.005
1766200198979,501512547271,0,0,0,0
1766200199179,501512549477,0,88181.3,0,0.113
1766200200279,501512554483,88165.9,0,0.025,0
1766200202039,501512557989,0,88184.9,0,0.086
1766200203080,501512560220,0,0,0,0
1766200203659,501512561108,0,0,0,0
1766200205179,501512562750,88166.5,0,0.011,0
1766200206379,501512566726,0,88183.1,0,0.176
1766200208019,501512577580,88165.4,0,0.013,0
1766200208139,501512579804,0,0,0,0
1766200208159,501512581704,0,88189.5,0,0.004
1766200208199,501512584299,0,88190.7,0,0.057
1766200208439,501512587182,0,88189.1,0,0.03
1766200209099,501512593587,0,88188.5,0,0.004
1766200209559,501512596472,88171.2,0,0.048,0
1766200210279,501512603280,0,88185.2,0,0.005
1766200210919,501512606926,88172.6,0,0.005,0
1766200211839,501512608979,0,0,0,0
